stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,zone_id
16252,5th St & Wingohocking St ,40.019646,-75.134205,,,1
16253,5th St & Cayuga St ,40.018237,-75.134507,,,1
16254,5th St & Bristol St ,40.016623,-75.134839,,,1
16255,5th St & Hunting Park Av ,40.015142,-75.135212,,,1
16256,5th St & Lycoming St ,40.013464,-75.135578,,,1
16257,5th St & Luzerne St ,40.012037,-75.135832,,,1
16258,5th St &  Pike St ,40.010565,-75.136157,,,1
16260,6th St & Venango St,40.006128,-75.139219,,,1
16261,6th St & Tioga St ,40.004692,-75.139521,,,1
16262,6th St & Glenwood Av ,40.002016,-75.140063,,,1
16263,6th St & Allegheny Av ,40.000062,-75.14052,,,1
16264,6th St & Indiana Av ,39.996993,-75.141218,,,1
16265,6th St & Cambria St ,39.995552,-75.141495,,,1
16266,6th St & Lehigh Av ,39.992393,-75.142146,,,1
16267,6th St & Huntingdon St ,39.990824,-75.142519,,,1
16268,6th St & York St ,39.987817,-75.143157,,,1
16269,6th St & Dauphin St ,39.986369,-75.143517,,,1
16270,6th St & Susquehanna Av ,39.984817,-75.143854,,,1
16273,8th St & Norris St ,39.982089,-75.147467,,,1
16274,8th St & Berks St - FS,39.980363,-75.147877,,,1
16275,8th St & Montgomery Av ,39.979056,-75.148119,,,1
16276,8th St & Cecil B Moore Av ,39.977491,-75.148479,,,1
16277,8th St & Oxford St ,39.976073,-75.148792,,,1
16278,8th St & Jefferson St ,39.974636,-75.149092,,,1
16279,8th St & Master St ,39.973275,-75.149357,,,1
16280,Thompson St & Franklin St,39.971729,-75.148747,,,1
16281,Franklin St & Girard Av ,39.970471,-75.148967,,,1
16282,8th St & Poplar St ,39.968012,-75.150513,,,1
16283,8th St & Brown St ,39.965586,-75.151029,,,1
16284,8th St & Wallace St,39.963471,-75.151498,,,1
16285,8th St & Green St ,39.962656,-75.151679,,,1
16288,8th St & Cherry St ,39.954162,-75.152904,,,1
16289,8th St & Arch St ,39.953208,-75.153097,,,1
