route_id,route_short_name,route_long_name,route_type,route_color,route_text_color,route_url
10580,9,4th-Walnut to Andorra,3,,,
10438,90,Plymouth Meeting to Norristown TC,3,,,
10439,91,Graterford to Norristown TC,3,,,
10440,92,Exton To King of Prussia,0,,,
10619,93,Pottstown to Norristown TC,3,,,
10442,94,Montgomery Mall to Chestnut Hill,3,,,
10443,95,Swedeland to Willow Grove Park Mall,3,,,
10444,96,Lansdale to Norristown TC,3,,,
10445,97,Chestnut Hill to Norristown TC,3,,,
10446,98,Plymouth Meeting to Norristown TC,3,,,
10447,99,Phoenixville to Norristown TC,3,,,
10583,BSO,Midnight-5am Service (Bus) for BSL,3,,,
10605,BSS,ATT Station to Fern Rock TC,1,FF9933,000000,
10584,G,Overbk/LankMC to ColCom/FdDstCtr,3,,,
10585,H,Broad-Erie to Cheltenham-Ogontz,3,,,
10588,J,Chelten-Wisshkn to Richmond-Orthodx,3,,,
10589,K,Ridge-Midvale to Arrott TC,3,,,
10591,L,Erdenheim/PlymthMtngMall to OTC,3,,,
10630,LUCYGO,Gold Loop Through University City,3,,,
10631,LUCYGR,Green Loop Through University City,3,,,
10606,MFL,Frankford TC to 69th St TC    ,1,0000DF,FFFFFF,
10592,MFO,Midnight-5am Service (Bus) for MFL,3,,,
10489,NHSL,Norristown TC to 69th St TC,0,A033B3,FFFFFF,
10593,R,Henry-Midval&WissTC to Frankford TC,3,,,
10603,XH,Broad-Erie to Cheltenham-Ogontz,3,,,
